NCAA Division I women's lacrosse tournament
Year,Site,Stadium,,Championship Results
Champion,Score,Runner-up
1982Details,"Trenton, NJ(Trenton State)",Lions Stadium,Massachusetts,9–6,Trenton State
1983Details,"Philadelphia, PA(Penn)",Franklin Field,Delaware,10–7,Temple
1984Details,"Boston, MA(Boston U.)",Nickerson Field,Temple,6–4,Maryland
1985Details,"Philadelphia, PA(Penn)",Franklin Field,New Hampshire,6–5,Maryland
1986Details,"College Park, MD(Maryland)",Byrd Stadium,Maryland,6–5,Penn State
1987Details,"College Park, MD(Maryland)",Byrd Stadium,Penn State,7–6,Temple
1988Details,"Haverford, PA(Haverford)",Walton Field,Temple(2),15–7,Penn State
1989Details,"West Chester, PA(West Chester)",John A. Farrell Stadium,Penn State(2),7–6,Harvard
1990Details,"Princeton, NJ(Princeton)",Palmer Stadium,Harvard,8–7,Maryland
1991Details,"Trenton, NJ(Trenton State)",Lions Stadium,Virginia,8–6,Maryland
1992Details,"Bethlehem, PA(Lehigh)",Goodman Stadium,Maryland(2),11–10(OT),Harvard
1993Details,"College Park, MD(Maryland)",Byrd Stadium,Virginia(2),8–6(OT),Princeton
1994Details,"College Park, MD(Maryland)",Byrd Stadium,Princeton,10–7,Maryland
1995Details,"Trenton, NJ(Trenton State)",Lions Stadium,Maryland(3),13–5,Princeton
1996Details,"Bethlehem, PA(Lehigh)",Goodman Stadium,Maryland(4),10–5,Virginia
1997Details,"Bethlehem, PA(Lehigh)",Goodman Stadium,Maryland(5),8–7,Loyola (MD)
1998Details,"Catonsville, MD(UMBC)",UMBC Stadium,Maryland(6),11–5,Virginia
1999Details,"Baltimore, MD(Johns Hopkins)",Homewood Field,Maryland(7),16–6,Virginia
2000Details,"Trenton, NJ(TCNJ)",Lions Stadium,Maryland(8),16–8,Princeton
2001Details,"Baltimore, MD(Johns Hopkins)",Homewood Field,Maryland(9),14–13(3OT),Georgetown
2002Details,"Baltimore, MD(Loyola)",Diane Geppi-Aikens Field,Princeton(2),12–7,Georgetown
2003Details,"Syracuse, NY(Syracuse)",Carrier Dome,Princeton(3),8–7(OT),Virginia
2004Details,"Princeton, NJ(Princeton)",Princeton Stadium,Virginia(3),10–4,Princeton
2005Details,"Annapolis, MD(Navy)",Navy–Marine Corps Memorial Stadium,Northwestern,13–10,Virginia
2006Details,"Boston, MA(Boston U.)",Nickerson Field,Northwestern(2),7–4,Dartmouth
2007Details,"Philadelphia, PA(Penn)",Franklin Field,Northwestern(3),15–13,Virginia
2008Details,"Towson, MD(Towson)",Johnny Unitas Stadium,Northwestern(4),10–6,Penn
2009Details,"Towson, MD(Towson)",Johnny Unitas Stadium,Northwestern(5),21–7,North Carolina
2010Details,"Towson, MD(Towson)",Johnny Unitas Stadium,Maryland(10),13–11,Northwestern
2011Details,"Stony Brook, NY(Stony Brook)",Kenneth P. LaValle Stadium,Northwestern(6),8–7,Maryland
2012Details,"Stony Brook, NY(Stony Brook)",Kenneth P. LaValle Stadium,Northwestern(7),8–6,Syracuse
2013Details,"Villanova, PA(Villanova)",Villanova Stadium,North Carolina,13–12(3OT),Maryland
2014Details,"Towson, MD(Towson)",Johnny Unitas Stadium,Maryland(11),15–12,Syracuse
2015Details,"Chester, PA(Saint Joseph's)",PPL Park,Maryland(12),9–8,North Carolina
2016Details,"Chester, PA(Saint Joseph's)",Talen Energy Stadium,North Carolina(2),13–7,Maryland
2017Details,"Foxborough, MA(UMass)",Gillette Stadium,Maryland(13),16–13,Boston College
2018Details,"Stony Brook, NY(Stony Brook)",Kenneth P. LaValle Stadium,James Madison,16–15,Boston College
2019Details,"Baltimore, MD(Johns Hopkins)",Homewood Field,Maryland(14),12–10,Boston College
2020,"Baltimore, MD(Johns Hopkins)",Homewood Field,Canceled due to theCOVID-19 pandemic
2021Details,"Towson, MD(Towson)",Johnny Unitas Stadium,Boston College,16–10,Syracuse
2022Details,"Baltimore, MD(Johns Hopkins)",Homewood Field,North Carolina(3),12–11,Boston College
2023Details,"Cary, NC(North Carolina)",WakeMed Soccer Park,Northwestern(8),18–6,Boston College
2024Details,"Cary, NC(North Carolina)",WakeMed Soccer Park,Boston College(2),14–13,Northwestern
2025Details,"Foxborough, MA(Harvard)",Gillette Stadium,North Carolina(4),12–8,Northwestern
